shot_id,in_sec,type,file
S001,0.00,ANCIENT,IB_ANC_all/A (1).png
S002,4.78,ANCIENT,IB_ANC_all/A (2).png
S003,11.52,ANCIENT,IB_ANC_all/A (3).png
S004,18.42,VOX,IB_VOX_all/V (1).png
S005,24.56,ANCIENT,IB_ANC_all/A (4).png
S006,30.00,VOX,IB_VOX_all/V (2).png
S007,35.94,ANCIENT,IB_ANC_all/A (5).png
S008,43.92,ANCIENT,IB_ANC_all/A (6).png
S009,49.06,VOX,IB_VOX_all/V (3).png
S010,54.70,VOX,IB_VOX_all/V (4).png
S011,59.36,VOX,IB_VOX_all/V (5).png
S012,65.62,ANCIENT,IB_ANC_all/A (7).png
S013,72.52,VOX,IB_VOX_all/V (6).png
S014,77.56,VOX,IB_VOX_all/V (7).png
S015,84.54,VOX,IB_VOX_all/V (8).png
S016,90.00,ANCIENT,IB_ANC_all/A (8).png
S017,95.24,VOX,IB_VOX_all/V (9).png
S018,99.98,VOX,IB_VOX_all/V (10).png
S019,104.50,VOX,IB_VOX_all/V (11).png
S020,110.04,VOX,IB_VOX_all/V (12).png
S021,118.06,ANCIENT,IB_ANC_all/A (9).png
S022,125.24,VOX,IB_VOX_all/V (13).png
S023,130.30,ANCIENT,IB_ANC_all/A (10).png
S024,137.04,VOX,IB_VOX_all/V (14).png
S025,143.16,ANCIENT,IB_ANC_all/A (11).png
S026,151.04,ANCIENT,IB_ANC_all/A (12).png
S027,155.84,VOX,IB_VOX_all/V (15).png
S028,161.98,VOX,IB_VOX_all/V (16).png
S029,166.70,VOX,IB_VOX_all/V (17).png
S030,171.64,VOX,IB_VOX_all/V (18).png
S031,176.26,VOX,IB_VOX_all/V (19).png
S032,184.12,ANCIENT,IB_ANC_all/A (13).png
S033,189.44,ANCIENT,IB_ANC_all/A (14).png
S034,194.90,VOX,IB_VOX_all/V (20).png
S035,200.22,ANCIENT,IB_ANC_all/A (15).png
S036,206.30,ANCIENT,IB_ANC_all/A (16).png
S037,211.70,VOX,IB_VOX_all/V (21).png
S038,218.72,ANCIENT,IB_ANC_all/A (17).png
S039,224.30,ANCIENT,IB_ANC_all/A (18).png
S040,229.88,VOX,IB_VOX_all/V (22).png
S041,235.14,VOX,IB_VOX_all/V (23).png
S042,240.34,ANCIENT,IB_ANC_all/A (19).png
S043,245.00,ANCIENT,IB_ANC_all/A (20).png
S044,249.46,ANCIENT,IB_ANC_all/A (21).png
S045,254.94,ANCIENT,IB_ANC_all/A (22).png
S046,260.08,ANCIENT,IB_ANC_all/A (23).png
S047,266.44,VOX,IB_VOX_all/V (24).png
S048,272.26,ANCIENT,IB_ANC_all/A (24).png
S049,277.78,VOX,IB_VOX_all/V (25).png
S050,283.66,VOX,IB_VOX_all/V (26).png
S051,290.98,VOX,IB_VOX_all/V (27).png
S052,298.82,ANCIENT,IB_ANC_all/A (25).png
S053,304.18,VOX,IB_VOX_all/V (28).png
S054,311.30,ANCIENT,IB_ANC_all/A (26).png
S055,316.28,ANCIENT,IB_ANC_all/A (27).png
S056,323.74,VOX,IB_VOX_all/V (29).png
S057,329.42,ANCIENT,IB_ANC_all/A (28).png
S058,334.80,VOX,IB_VOX_all/V (30).png
S059,340.42,ANCIENT,IB_ANC_all/A (29).png
S060,345.82,VOX,IB_VOX_all/V (31).png
S061,351.90,VOX,IB_VOX_all/V (32).png
S062,357.74,ANCIENT,IB_ANC_all/A (30).png
S063,362.92,VOX,IB_VOX_all/V (33).png
S064,368.42,VOX,IB_VOX_all/V (34).png
S065,375.58,ANCIENT,IB_ANC_all/A (31).png
S066,380.98,VOX,IB_VOX_all/V (35).png
S067,386.36,VOX,IB_VOX_all/V (36).png
S068,391.72,ANCIENT,IB_ANC_all/A (32).png
S069,397.88,VOX,IB_VOX_all/V (37).png
S070,404.24,VOX,IB_VOX_all/V (38).png
S071,408.86,VOX,IB_VOX_all/V (39).png
S072,414.20,VOX,IB_VOX_all/V (40).png
S073,419.64,ANCIENT,IB_ANC_all/A (33).png
S074,424.60,VOX,IB_VOX_all/V (41).png
S075,430.94,ANCIENT,IB_ANC_all/A (34).png
S076,437.50,ANCIENT,IB_ANC_all/A (35).png
S077,443.10,ANCIENT,IB_ANC_all/A (36).png
S078,449.48,VOX,IB_VOX_all/V (42).png
S079,454.30,VOX,IB_VOX_all/V (43).png
S080,461.62,ANCIENT,IB_ANC_all/A (37).png
S081,467.44,VOX,IB_VOX_all/V (44).png
S082,472.74,ANCIENT,IB_ANC_all/A (38).png
S083,478.16,VOX,IB_VOX_all/V (45).png
S084,483.52,ANCIENT,IB_ANC_all/A (39).png
S085,489.56,VOX,IB_VOX_all/V (46).png
S086,495.46,VOX,IB_VOX_all/V (47).png
S087,500.80,ANCIENT,IB_ANC_all/A (40).png
S088,507.10,ANCIENT,IB_ANC_all/A (41).png
S089,514.58,ANCIENT,IB_ANC_all/A (42).png
S090,520.04,ANCIENT,IB_ANC_all/A (43).png
S091,525.20,ANCIENT,IB_ANC_all/A (44).png
S092,530.74,VOX,IB_VOX_all/V (48).png
