shot,type,in_sec,out_sec,dur_sec,in_tc,out_tc,image_file,text_overlay,overlay_x,overlay_y,overlay_anchor,overlay_max_width,safe_zone,animation_style,sfx,trigger,narration
S001,ANCIENT,0.00,4.78,4.78,00:00:00:00,00:00:04:23,IB_ANC_all/A (1).png,,,,,,,KENBURNS-PUSH,"open wind, a lone quiet tone",Picture your entire world. Not your,"Picture your entire world. Not your country, not your city. Your world."
S002,ANCIENT,4.78,11.52,6.74,00:00:04:23,00:00:11:16,IB_ANC_all/A (2).png,,,,,,,KENBURNS-PULL,"a small camp murmur, familiar voices",It is about 30 people. You,It is about 30 people. You were born into them. You will probably die among them. And you know every single face.
S003,ANCIENT,11.52,18.42,6.90,00:00:11:16,00:00:18:13,IB_ANC_all/A (3).png,,,,,,,PARALLAX-PAN-L,"an uneasy realising tone, quiet camp",Now look around that group and,Now look around that group and find someone to have children with. Your mother is there. Your father. Your brothers and sisters.
S004,VOX,18.42,24.56,6.14,00:00:18:13,00:00:24:17,IB_VOX_all/V (1).png,"ALL OF THEM, FAMILY",0.5,0.08,top-center,0.66,TOP-BAND,TREE-TRACE,"linking ticks multiplying, then a closing tone","Your grandmother. Your aunts, your uncles,","Your grandmother. Your aunts, your uncles, and every cousin you have ever met. That is the whole list."
S005,ANCIENT,24.56,30.00,5.44,00:00:24:17,00:00:30:00,IB_ANC_all/A (4).png,,,,,,,BREATHING-HOLD,"a low uncomfortable tone, distant camp","And this is the quiet, uncomfortable","And this is the quiet, uncomfortable problem sitting underneath all of human prehistory."
S006,VOX,30.00,35.94,5.94,00:00:30:00,00:00:35:28,IB_VOX_all/V (2).png,"BANDS, NOT VILLAGES",0.5,0.84,bottom-center,0.66,LOWER-BAND,PAN-RIGHT,a small intimate tone against a crossed-out crowd,"Because for most of our existence,","Because for most of our existence, people lived in small bands. Not villages of thousands."
S007,ANCIENT,35.94,43.92,7.98,00:00:35:28,00:00:43:28,IB_ANC_all/A (5).png,,,,,,,WALK-TRACK,"many footsteps moving together, open wind",Groups of maybe 25 to 50.,"Groups of maybe 25 to 50. Moving together, surviving together. And in a group that size, almost everyone is family."
S008,ANCIENT,43.92,49.06,5.14,00:00:43:28,00:00:49:02,IB_ANC_all/A (6).png,,,,,,,PARALLAX-PAN-R,"an enclosing tone, overlapping familiar voices",So here is the question this,"So here is the question this whole video is about. If your entire world is your relatives,"
S009,VOX,49.06,54.70,5.64,00:00:49:02,00:00:54:21,IB_VOX_all/V (3).png,SO WHO?,0.06,0.09,top-left,0.36,UPPER-LEFT,PUSH-IN,"a questioning tone, closing barriers",who do you have children with?,who do you have children with? And how do you avoid the obvious disaster? Because it is a disaster.
S010,VOX,54.70,59.36,4.66,00:00:54:21,00:00:59:11,IB_VOX_all/V (4).png,EVERYONE CARRIES A FEW,0.94,0.09,top-right,0.36,UPPER-RIGHT,PULL-BACK,"a soft precise reveal, small ticks",Let us be clear about why.,Let us be clear about why. Every person carries a few broken genes.
